threshold	specificity	sensitivity	CtrlPCentile	CasePCentile	LRplus	LRminus	PPV
0.4297852	1.0692985668726e-05	1	0.0010692985668726	0	1.00001069310001	0	0.0030000319830611
0.55255034636	2.13859713374519e-05	1	0.00213859713374519	0	1.00002138642871	0	0.00300006396680416
0.66126628046	3.20789570061779e-05	1	0.00320789570061779	0	1.0000320799861	0	0.00300009595122919
0.68466018664	4.00986962577223e-05	1	0.00400986962577223	0	1.00004010030423	0	0.00300011993999552
0.7916945	5.07916819264483e-05	1	0.00507916819264483	0	1.00005079426185	0	0.00300015192561405
0.8387112	6.14846675951743e-05	1	0.00614846675951743	0	1.00006148844819	0	0.00300018391191462
0.8821241	7.21776532639002e-05	1	0.00721776532639002	0	1.00007218286325	0	0.00300021589889724
0.89476797328	8.01973925154447e-05	1	0.00801973925154447	0	1.00008020382465	0	0.00300023988958182
0.9270167	9.08903781841706e-05	1	0.00908903781841706	0	1.00009089864	0	0.00300027187775809
0.9422234666	0.000101583363852897	1	0.0101583363852897	0	1.00010159368408	0	0.00300030386661647
0.98095121326	0.000112276349521623	1	0.0112276349521623	0	1.00011228895692	0	0.003000335856157
1	0.000117622842355986	1	0.0117622842355986	0	1.00011763667912	0	0.00300035185118307
1.0268019	0.000130989074441893	1	0.0130989074441893	0	1.00013100623483	0	0.00300039183949437
1.054579657	0.000141682060110619	1	0.0141682060110619	0	1.00014170213676	0	0.00300042383091088
1.07	0.000147028552944982	1	0.0147028552944982	0	1.00014705017352	0	0.00300043982687497
1.0931742	0.000171087770699615	1	0.0171087770699615	0	1.00017111704673	0	0.00300051181082404
1.1115811274	0.000181780756368341	1	0.0181780756368341	0	1.00018181380662	0	0.00300054380479899
1.13	0.000189800495619886	1	0.0189800495619886	0	1.00018983652669	0	0.00300056780072795
1.14	0.000208513220540156	1	0.0208513220540156	0	1.00020855670737	0	0.00300062379272146
1.1541153072	0.000221879452626064	1	0.0221879452626064	0	1.00022192869404	0	0.00300066378828194
1.1706299202	0.00023257243829479	1	0.023257243829479	0	1.00023262654082	0	0.00300069578549801
1.18	0.000235245684711971	1	0.0235245684711971	0	1.00023530103827	0	0.00300070378490865
1.1861575	0.00025128516321506	1	0.025128516321506	0	1.00025134832332	0	0.00300075178226817
1.2	0.000259304902466604	1	0.0259304902466604	0	1.00025937215894	0	0.00300077578152374
1.2062071302	0.000272671134552512	1	0.0272671134552512	0	1.00027274550438	0	0.00300081578113609
1.21	0.000275344380969693	1	0.0275344380969693	0	1.00027542021638	0	0.00300082378118653
1.2161374504	0.000291383859472782	1	0.0291383859472782	0	1.00029146878877	0	0.00300087178238493
1.221687722	0.000302076845141508	1	0.0302076845141508	0	1.00030216812313	0	0.00300090378403701
1.24	0.000310096584393053	1	0.0310096584393053	0	1.00031019277411	0	0.00300092778572399
1.2442651456	0.000320789570061779	1	0.0320789570061779	0	1.00032089250903	0	0.00300095978857055
1.2506988038	0.000331482555730505	1	0.0331482555730505	0	1.00033159247285	0	0.00300099179209969
1.26190839	0.000342175541399231	1	0.0342175541399231	0	1.00034229266558	0	0.00300102379631143
1.28	0.000347522034233594	1	0.0347522034233594	0	1.00034764284778	0	0.00300103979867328
1.280322672	0.000360888266319501	1	0.0360888266319501	0	1.00036101855368	0	0.00300107980532457
1.29	0.000368908005571046	1	0.0368908005571046	0	1.00036904414891	0	0.00300110380982733
1.3	0.000379600991239771	1	0.0379600991239771	0	1.00037974514287	0	0.00300113581642837
1.3055962163	0.000392967223325679	1	0.0392967223325679	0	1.00039312170727	0	0.00300117582563972
1.31	0.000392967223325679	1	0.0392967223325679	0	1.00039312170727	0	0.00300117582563972
1.32	0.000406333455411586	1	0.0406333455411586	0	1.0004064986294	0	0.00300121583591784
1.33	0.000419699687497494	1	0.0419699687497494	0	1.00041987590929	0	0.00300125584726277
1.34	0.00043039267316622	1	0.043039267316622	0	1.00043057799078	0	0.00300128785710685
1.3551985905	0.000451778644503672	1	0.0451778644503672	0	1.0004519828407	0	0.00300135187884345
1.3750887814	0.000462471630172398	1	0.0462471630172398	0	1.00046268560914	0	0.00300138389073602
1.38	0.000465144876589579	1	0.0465144876589579	0	1.00046536133703	0	0.00300139189381586
1.39	0.000478511108675487	1	0.0478511108675487	0	1.00047874019118	0	0.00300143190985527
1.3924246126	0.000491877340761394	1	0.0491877340761394	0	1.00049211940314	0	0.00300147192696171
1.4	0.000499897080012939	1	0.0499897080012939	0	1.00050014710209	0	0.00300149593773778
1.40498	0.000507916819264483	1	0.0507916819264483	0	1.00050817492986	0	0.00300151994889801
1.417538698	0.00052128305135039	1	0.052128305135039	0	1.0005215549291	0	0.0030015599683521
1.43	0.000526629544184753	1	0.0526629544184753	0	1.00052690702899	0	0.00300157597643254
1.43082	0.000539995776270661	1	0.0539995776270661	0	1.00054028752925	0	0.00300161599738069
1.435438232	0.000550688761939387	1	0.0550688761939387	0	1.00055099218714	0	0.00300164801490762
1.44	0.000553362008356568	1	0.0553362008356568	0	1.00055366838741	0	0.00300165601939608
1.4427034119	0.000572074733276839	1	0.0572074733276839	0	1.00057240219011	0	0.00300171205201066
1.4509389292	0.000582767718945565	1	0.0582767718945565	0	1.00058310753519	0	0.00300174407158682
1.4561845311	0.000590787458197109	1	0.0590787458197109	0	1.00059113669434	0	0.00300176808671723
1.46	0.000593460704614291	1	0.0593460704614291	0	1.00059381310936	0	0.0030017760918461
1.4646979074	0.000612173429534561	1	0.0612173429534561	0	1.0006125484154	0	0.00300183212894365
